Topic, Top Terms
Topic 00, functions correlation nonlinear properties perfect autocorrelation note boolean comments function algebraic distribution class bent output balanced phase families low variables
Topic 01, broadcast approach under general fading erasure degraded constraint region partial problems messages message proof unified how multiuser class framework energy
Topic 02, quantum memoryless discrete feedback multiple-access rates region achievable key via communication general bound interference reliability security classical list strong outer
Topic 03, construction covering constructions error-correcting sets errors correcting radius algebraic correction asymmetric two-dimensional difference arrays single generalized burst cyclic reed-muller geometry
Topic 04, source sources markov side encoding distortion rate rate-distortion function stationary large criterion theorems fidelity theorem finite-state hidden chains noisy decoder
Topic 05, orthogonal optical sequence communication large two synchronization complexity selection period model cyclic periodic designs fast arithmetic simple antenna patterns combinatorial
Topic 06, algorithm convolutional concatenated number turbo encoders parallel rate application viterbi iterative generalized shift recursive algebraic-geometric computing improved applications construction systematic
Topic 07, using communication wireless schemes approximation models allocation distributed stochastic secret joint efficient via power optimization sensor sharing scaling structure recursive
Topic 08, bound probability upper lower improved performance its function block constant classes density threshold computation sequential ratio comments parameter exponent gilbert-varshamov
Topic 09, matrices generalized asymptotic sensing compressed applications complex constrained application approach blind based sparse covariance propagation spectral property size identification matrix
Topic 10, processes between time measures distributions probability stationary series discrete note stochastic distribution continuous certain wavelet input via inequalities complexity smoothing
Topic 11, interference mimo relay wireless tradeoff cooperative diversity degrees network fading broadcast distributed feedback cooperation diversity-multiplexing relaying alignment achievable sum rate
Topic 12, signals signal sampling design optimum robust radar recovery white sparse frequency band-limited additive detector unknown phase ratio amplitude function uncertainty
Topic 13, theory review statistical processes communication applications nonstationary stochastic introduction processing approach shannon application filtering its special signal through modeling process
Topic 14, network testing control hypothesis power algorithms sequential theorem probabilities multicast inequality simple approach probabilistic quantum properties resolution decentralized delay theory
Topic 15, optimum signals correlated multiuser multiple-access cdma detectors joint digital receivers transmission arbitrarily varying receiver mimo interference coherent mmse asynchronous source-channel
Topic 16, abstr thesis ph.d techniques digital spectrum modulation image array application optical communication processing performance transmission speech phase nonlinear multilevel communications
Topic 17, length redundancy average minimum universal case block state minimax poisson are asymptotically than huffman variable discrimination cost based source robust
Topic 18, quantization vector asymptotic quantizers properties multiple convergence scalar description lattice quantizer performance design some uniform optimality distortion conditions sufficient metric
Topic 19, class performance decision scheme design pattern based matching recovery recognition multilevel use feedback threshold modified presence algorithms under comments matrix
Topic 20, finite fields reed-solomon group generalized transform rings self-dual fourier groups using permutation transforms discrete algorithms extremal fast polynomials method order
Topic 21, multiple access feedback wireless rate scheduling delay fading packet throughput stability communication beamforming transmission mobile protocol control region deterministic finite
Topic 22, space-time modulation fading interference performance block intersymbol coded noncoherent design diversity constellations schemes signaling communication mimo correction block-fading orthogonal unitary
Topic 23, entropy maximum likelihood observations spectral process geometric noisy estimating estimator samples parameters independent minimum parameter dependent distributions inequalities relative principle
Topic 24, complexity block efficient correction trellis algorithm ldpc results further convolutional encoding lattices lattice good search soft-decision unequal decodable protection exact
Topic 25, universal data compression sources memory finite algorithm sequential lossy alphabets prediction lossless nearest via neighbor source individual memoryless successive refinement
Topic 26, classification adaptive using data convergence nonparametric learning sequential method model identification order stochastic regression pattern nonlinear test system density dynamic
Topic 27, some functions two results problem secure rate theory information-theoretic related using sum symbol filter problems entropy bit loss partial dimensions
Topic 28, weight cyclic parity-check ldpc distribution construction length low-density some self-dual quasi-cyclic ternary graphs reed-muller distributions golay extended characterization mds regular
Topic 29, distance minimum convolutional bch cyclic goppa lengths memory quadratic hamming weights residue generalized bound class some certain trellis conjecture free
