Topic, Top Terms
Topic 00, filtering least squares recursive fast convergence nonlinear median weighted kalman stability iir discrete-time mean multichannel properties lattice constrained fir square
Topic 01, subspace method methods fast tracking harmonic constrained echo decomposition processing stable application component retrieval weighted cancellation multidimensional matched acoustic principal
Topic 02, information wireless over distributed power cooperative access relay transmission state multiple fading allocation communications strategies diffusion energy diversity imperfect communication
Topic 03, frequency lms domain phase response convergence offset impulse carrier data system function behavior time transient uplink algebraic steady-state size joint
Topic 04, arrays antenna training multiple beamforming optimum broadband uniform vector sources circular selection doa beamformers feedforward sensors description transmit feedback polarized
Topic 05, time-frequency distributions frequency distribution functions representations quadratic new instantaneous discrete spectrum nonstationary kernels kernel wigner wavelets power synthesis orthogonal bilinear
Topic 06, identification sparse second-order stochastic equalization nonlinear statistics recovery filtering fir wiener inputs via multichannel volterra time-varying pursuit colored gradient class
Topic 07, models markov bayesian hidden learning model inference state classification space filtering information variational particle via neural extended criterion network structure
Topic 08, digital coding quantization two-dimensional fir 2-d lattice recursive structure wavelets orthogonal iir image structures efficient theory subband error images realization
Topic 09, order identification system model higher processes modeling nonlinear parameter autoregressive models arma statistics selection parametric spectral non-gaussian process criteria nonstationary
Topic 10, matrices generalized fourier fast class properties general processing toeplitz sampling implementation functions correlation new asymptotic arbitrary computation theorem convergence transforms
Topic 11, sensor distributed wireless decision feedback coding consensus decentralized network fusion quantization data binary communication field via equalizer testing hypothesis sequential
Topic 12, sensing spectrum radio cognitive feedback compressive ofdm compressed limited dynamic projection reduction cooperative partial low-complexity prior affine heterogeneous framework exploiting
Topic 13, sampling rate data spectral error iterative equalizers reconstruction techniques problem sampled new methods some sparse approximation high fir conversion problems
Topic 14, discrete wavelet transforms fast complex its applications decomposition computation multidimensional cosine new bases orthonormal convolution application dct characterization packet computing
Topic 15, efficient implementation architecture architectures finite parallel vlsi 2-d pipelined wavelet representation systolic array computation computationally effects 3-d memory semidefinite time-varying
Topic 16, space-time codes block fading decoding ofdm equalization carlo coding monte iterative sequential orthogonal receiver coded low-complexity frequency-selective transmission code precoders
Topic 17, multiuser receivers cdma complexity multipath equalization joint ds-cdma modulation mmse low snr diversity selective widely constrained frequency schemes over spatial
Topic 18, application comments its neural speech recognition network complex reply detectors new comparison enhancement two results noisy improved modeling distribution further
Topic 19, error bounds bound minimum cramer-rao r-rao variance lower frequency estimator estimates estimators sinusoidal parameter mean asymptotic statistical prediction threshold probability
Topic 20, beamforming optimization relay joint power downlink multiuser constraints via two-way rate allocation under relaying transceiver precoding maximization transmit amplify-and-forward control
Topic 21, radar statistical image via framework processing decomposition classification waveform model modeling application clutter between target applications unified recognition properties imaging
Topic 22, interference communications constant modulus method suppression cancellation efficient new technique equalization beamforming generalized alignment receiver watermarking improved digital hybrid mitigation
Topic 23, localization tracking multiple source target sensor sources environments measurements acoustic array moving passive observations ofdm location number targets mobile radar
Topic 24, gaussian time separation source correlated delay sources processes random series unknown stationary joint spatially mixtures fields generalized presence covariance mixture
Topic 25, phase polynomial fourier direction fractional finding number interpolation periodic method generalized fast discrete deconvolution from samples function nonuniform evaluation domain
Topic 26, maximum likelihood data from sparse approximation measurements parameter approximate noisy estimator dynamic entropy estimators ratio study detector parameters programming timing
Topic 27, banks reconstruction fir from iir perfect filterbanks linear-phase least-squares delay image paraunitary phase oversampled restoration bank digital subband arbitrary projections
Topic 28, matrix covariance theory vector applications from estimating method parameters finite random part sample frequencies complex data set factorization two-dimensional generalized
Topic 29, array processing spatial presence errors direction-of-arrival smoothing music filtering doa arrays resolution coherent modeling techniques application efficient spectral beamformer sources
